WP, 11, 2020083106,   , BEST,   0, 237N, 1465E,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1007,  180,  55,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, TCFA1, TCFA 1 OF 1 PGTW 311021ZAUG2020,
WP, 11, 2020083112,   , BEST,   0, 228N, 1462E,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1007,  230,  60,   0,   0,   W,   0,    ,   0,   0,     ELEVEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpC52020 to wp112020,
WP, 11, 2020083118,   , BEST,   0, 221N, 1455E,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1008,  220,  55,   0,   0,   W,   0,    ,   0,   0,     ELEVEN, S,
WP, 11, 2020090100,   , BEST,   0, 215N, 1450E,  35, 1002, TS,  34, NEQ,    0,   20,   20,    0, 1008,  200,  50,   0,   0,   W,   0,    ,   0,   0,     ELEVEN, S,
WP, 11, 2020090106,   , BEST,   0, 209N, 1444E,  40,  999, TS,  34, NEQ,   30,   40,   40,   30, 1007,  220,  70,   0,   0,   W,   0,    ,   0,   0,     ELEVEN, S,
WP, 11, 2020090112,   , BEST,   0, 204N, 1438E,  45,  997, TS,  34, NEQ,   75,  105,   95,   80, 1008,  190,  70,   0,   0,   W,   0,    ,   0,   0,     ELEVEN, S,
WP, 11, 2020090118,   , BEST,   0, 196N, 1432E,  45,  997, TS,  34, NEQ,  100,  105,  105,   85, 1007,  210,  50,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, S,
WP, 11, 2020090200,   , BEST,   0, 194N, 1422E,  60,  990, TS,  34, NEQ,  115,  110,  135,   85, 1009,  225,  40,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, S,
WP, 11, 2020090200,   , BEST,   0, 194N, 1422E,  60,  990, TS,  50, NEQ,   65,   65,   20,   20, 1009,  225,  40,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, S,
WP, 11, 2020090206,   , BEST,   0, 194N, 1414E,  65,  985, TY,  34, NEQ,  120,  140,  150,   85, 1007,  210,  30,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, M,
WP, 11, 2020090206,   , BEST,   0, 194N, 1414E,  65,  985, TY,  50, NEQ,   55,   85,   30,   50, 1007,  210,  30,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, M,
WP, 11, 2020090212,   , BEST,   0, 196N, 1404E,  65,  988, TY,  34, NEQ,  125,  160,  150,   95, 1010,  220,  20,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, D,
WP, 11, 2020090212,   , BEST,   0, 196N, 1404E,  65,  988, TY,  50, NEQ,   80,  100,   40,   55, 1010,  220,  20,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, D,
WP, 11, 2020090212,   , BEST,   0, 196N, 1404E,  65,  988, TY,  64, NEQ,   25,   15,   10,   10, 1010,  220,  20,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, D,
WP, 11, 2020090218,   , BEST,   0, 199N, 1394E,  75,  980, TY,  34, NEQ,  130,  170,  150,  100, 1009,  220,  15,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, D,
WP, 11, 2020090218,   , BEST,   0, 199N, 1394E,  75,  980, TY,  50, NEQ,   90,  120,   45,   60, 1009,  220,  15,   0,   0,   W,   0,    ,   0,   0,    HAISHEN, D,
