WP, 19, 2021090518,   , BEST,   0, 134N, 1389E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1007,   75,  25,   0,   0,    ,   0,    ,   0,   0,     INVEST,  ,  0,    ,    0,    0,    0,    0, TCFA1, TCFA 1 OF 1 PGTW 052330ZSEP2021 ,
WP, 19, 2021090600,   , BEST,   0, 135N, 1386E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,   75,  25,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,
WP, 19, 2021090606,   , BEST,   0, 141N, 1385E,  30, 1001, TD,   0,    ,    0,    0,    0,    0, 1006,   75,  25,   0,   0,   W,   0,    ,   0,   0,   NINETEEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpC42021 to wp192021, DISSIPATED, wp192021 to wp942021, TRANSITIONED, wpD42021 to wp192021,
WP, 19, 2021090612,   , BEST,   0, 148N, 1379E,  35,  999, TS,  34, NEQ,   15,   25,   30,   10, 1006,   75,  25,   0,   0,   W,   0,    ,   0,   0,   NINETEEN, S,
WP, 19, 2021090618,   , BEST,   0, 152N, 1374E,  45,  997, TS,  34, NEQ,   20,   30,   35,   15, 1006,   75,  20,   0,   0,   W,   0,    ,   0,   0,   NINETEEN, D,
WP, 19, 2021090700,   , BEST,   0, 156N, 1366E,  50,  995, TS,  34, NEQ,   25,   30,   35,   20, 1006,   75,  15,   0,   0,    ,   0,    ,   0,   0,   NINETEEN,  ,
WP, 19, 2021090700,   , BEST,   0, 156N, 1366E,  50,  995, TS,  50, NEQ,    0,    0,   15,   15, 1006,   75,  15,   0,   0,    ,   0,    ,   0,   0,   NINETEEN,  ,
WP, 19, 2021090706,   , BEST,   0, 162N, 1357E,  65,  985, TY,  34, NEQ,   30,   30,   30,   25, 1005,   80,  10,   0,   0,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090706,   , BEST,   0, 162N, 1357E,  65,  985, TY,  50, NEQ,    0,    0,   15,   15, 1005,   80,  10,   0,   0,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090706,   , BEST,   0, 162N, 1357E,  65,  985, TY,  64, NEQ,    0,    0,   10,   10, 1005,   80,  10,   0,   0,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090712,   , BEST,   0, 163N, 1346E,  95,  966, TY,  34, NEQ,   35,   30,   25,   30, 1007,   80,  10,   0,   0,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090712,   , BEST,   0, 163N, 1346E,  95,  966, TY,  50, NEQ,   20,   20,   15,   15, 1007,   80,  10,   0,   0,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090712,   , BEST,   0, 163N, 1346E,  95,  966, TY,  64, NEQ,   10,    5,   10,   10, 1007,   80,  10,   0,   0,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090718,   , BEST,   0, 162N, 1335E, 125,  937, TY,  34, NEQ,   50,   40,   35,   30, 1005,  110,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090718,   , BEST,   0, 162N, 1335E, 125,  937, TY,  50, NEQ,   25,   25,   20,   20, 1005,  110,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090718,   , BEST,   0, 162N, 1335E, 125,  937, TY,  64, NEQ,   15,   15,   15,   15, 1005,  110,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090800,   , BEST,   0, 160N, 1323E, 130,  932, ST,  34, NEQ,   60,   50,   40,   30, 1005,  110,   7,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090800,   , BEST,   0, 160N, 1323E, 130,  932, ST,  50, NEQ,   30,   30,   20,   20, 1005,  110,   7,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090800,   , BEST,   0, 160N, 1323E, 130,  932, ST,  64, NEQ,   15,   15,   15,   15, 1005,  110,   7,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090806,   , BEST,   0, 156N, 1313E, 140,  922, ST,  34, NEQ,   60,   50,   40,   45, 1005,  115,   7,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090806,   , BEST,   0, 156N, 1313E, 140,  922, ST,  50, NEQ,   30,   30,   20,   20, 1005,  115,   7,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090806,   , BEST,   0, 156N, 1313E, 140,  922, ST,  64, NEQ,   15,   20,   15,   15, 1005,  115,   7,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090812,   , BEST,   0, 155N, 1303E, 130,  935, ST,  34, NEQ,   60,   45,   45,   60, 1007,  115,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090812,   , BEST,   0, 155N, 1303E, 130,  935, ST,  50, NEQ,   30,   30,   20,   20, 1007,  115,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090812,   , BEST,   0, 155N, 1303E, 130,  935, ST,  64, NEQ,   20,   25,   15,   15, 1007,  115,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090818,   , BEST,   0, 154N, 1291E, 135,  929, ST,  34, NEQ,   60,   55,   55,   60, 1006,  115,  20,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090818,   , BEST,   0, 154N, 1291E, 135,  929, ST,  50, NEQ,   30,   30,   35,   25, 1006,  115,  20,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090818,   , BEST,   0, 154N, 1291E, 135,  929, ST,  64, NEQ,   20,   25,   25,   20, 1006,  115,  20,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090900,   , BEST,   0, 154N, 1280E, 140,  924, ST,  34, NEQ,   70,   60,   55,   60, 1006,   95,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090900,   , BEST,   0, 154N, 1280E, 140,  924, ST,  50, NEQ,   30,   25,   25,   30, 1006,   95,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090900,   , BEST,   0, 154N, 1280E, 140,  924, ST,  64, NEQ,   20,   20,   20,   25, 1006,   95,   5,   0,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090906,   , BEST,   0, 158N, 1271E, 130,  932, ST,  34, NEQ,   80,   80,   65,   85, 1006,  100,   5, 160,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090906,   , BEST,   0, 158N, 1271E, 130,  932, ST,  50, NEQ,   30,   30,   35,   45, 1006,  100,   5, 160,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
WP, 19, 2021090906,   , BEST,   0, 158N, 1271E, 130,  932, ST,  64, NEQ,   25,   20,   25,   30, 1006,  100,   5, 160,  10,   W,   0,    ,   0,   0,    CHANTHU, D,
