WP, 20, 2021092206,   , BEST,   0, 108N, 1500E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  235,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY,  ,  0,    ,    0,    0,    0,    0, TCFA1, TCFA 1 OF 2 PGTW 211230ZSEP2021,
WP, 20, 2021092212,   , BEST,   0, 115N, 1487E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  235,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY,  ,  0,    ,    0,    0,    0,    0, TCFA2, TCFA 2 OF 2 PGTW 221130ZSEP2021,
WP, 20, 2021092218,   , BEST,   0, 119N, 1477E,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1008,  235,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpC992021 to wp2021,
WP, 20, 2021092300,   , BEST,   0, 127N, 1460E,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  250,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY, S,
WP, 20, 2021092306,   , BEST,   0, 133N, 1447E,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1010,  250,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY, S,
WP, 20, 2021092312,   , BEST,   0, 139N, 1428E,  35, 1001, TS,  34, NEQ,  130,    0,    0,    0, 1008,  200,  40,   0,   0,   W,   0,    ,   0,   0,     TWENTY, S,
WP, 20, 2021092318,   , BEST,   0, 142N, 1419E,  35, 1001, TS,  34, NEQ,  135,    0,   50,    0, 1006,  170,  30,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092400,   , BEST,   0, 148N, 1410E,  40, 1000, TS,  34, NEQ,  100,   55,    0,  100, 1006,  185,  30,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092406,   , BEST,   0, 154N, 1401E,  45,  997, TS,  34, NEQ,  115,   55,   15,  100, 1006,  185,  30,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092412,   , BEST,   0, 161N, 1393E,  50,  994, TS,  34, NEQ,  130,   50,   30,  100, 1006,  185,  25,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092412,   , BEST,   0, 161N, 1393E,  50,  994, TS,  50, NEQ,   15,    0,    0,   15, 1006,  185,  25,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092418,   , BEST,   0, 167N, 1385E,  65,  983, TY,  34, NEQ,  140,   60,   45,  120, 1004,  220,  25,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092418,   , BEST,   0, 167N, 1385E,  65,  983, TY,  50, NEQ,   20,   10,   10,   40, 1004,  220,  25,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092418,   , BEST,   0, 167N, 1385E,  65,  983, TY,  64, NEQ,   15,    5,    5,   20, 1004,  220,  25,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
WP, 20, 2021092500,   , BEST,   0, 171N, 1381E,  80,  974, TY,  34, NEQ,  150,   70,   60,  125, 1005,  125,  25,   0,   0,   W,   0,    ,   0,   0,   MINDULLE, M,
